smiles,measured log solubility in mols per litre
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-3.638
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
CCCOC=O,-0.49
Cn1cnc2n(C)c(=O)[nH]c(=O)c12,-2.523
Cc2ncc1nccnc1n2,-0.12
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
O=N(=O)c1ccccc1,-1.8
CCC=O,0.58
C1CCC=CC1,-2.59
CC(=O)C(C)(C)C,-0.72
O=C2NC(=O)C1(CC1)C(=O)N2,-1.886
Brc1ccc2ccccc2c1,-4.4
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
NC(N)=NC#N,-0.31
CCCCCCCCCO,-3.01
Oc1cccc(c1)N(=O)=O,-1.01
OC1C(O)C(O)C(O)C(O)C1O,0.35
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
Cc1ccc(C)c(C)c1,-3.31
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.5380000000000003
CC(=O)Nc1ccccc1,-1.33
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.9809999999999999
CCCC(=O)CCC,-1.3
C/C1CCCCC1\C,-4.3
C1=Cc2cccc3cccc1c23,-3.96
C1CCc2ccccc2C1,-4.37
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.647
CCI,-1.6
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
Ic1cccc2ccccc12,-4.55
CCCN(=O)=O,-0.8
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
C1c2ccccc2c3ccc4ccccc4c13,-6.68
CC=CC=O,0.32
CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23,-3.36
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.154
Ic1ccccc1,-3.01
Cc1cc(=O)n(c2ccccc2)n1C,0.715
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl,-7.39
Cc1ccccc1Cl,-3.52
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CCC(C)C,-3.18
NC(=O)c1cccnc1,0.61
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
CCOC(=O)CC,-0.66
CC(C)C1CCC(C)CC1=O,-2.35
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23,-4.871
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624
Cc1ncnc2nccnc12,-0.466
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571
BrCBr,-1.17
Oc1ccc(cc1)N(=O)=O,-0.74
OCC(O)C(O)C(O)C(O)CO,0.06
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
CCCC(O)CCC,-1.4
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
c2ccc1[nH]nnc1c2,-0.78
O=Cc1ccccc1,-1.19
Brc1cccc2ccccc12,-4.35
CCNc1nc(NC(C)C)nc(OC)n1,-2.084
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-8.6
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
OC1CCCCCC1,-0.88
CC#N,0.26
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.69
CCC(C)(C)Cl,-2.51
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,-2.9
CC(C)C,-2.55
CSC,-0.45
CNc1ccccc1,-1.28
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,-5.153
Nc1nc[nH]n1,0.522
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
Clc1ccccc1Br,-3.19
Oc1cccc2ncccc12,-2.54
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,-4.65
CC(=O)c1ccccc1,-1.28
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,-2.63
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
CCCCCCCC#C,-4.24
CCc1ccc(CC)cc1,-3.75
CCCCI,-2.96
CCC(CC)CO,-1.17
Brc1cc(Br)cc(Br)c1,-5.6
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35
CCC(C)(C)CO,-1.04
CCC(C)(C)CC,-4.23
CC(C)(C)c1ccccc1,-3.66
C/C=C/C=O,0.32
CC(C)COC=O,-1.01
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-4.21
C1CCOCC1,-0.03
CCCCCCCO,-1.81
CCCCC(=O)OC,-1.34
CCOC(=O)N,0.85
O=c1[nH]cnc2[nH]ncc12,-2.266
CCCCC=C,-3.23
ICI,-2.34
CC(C)(C)CO,-0.4
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47
ClC(Cl)(Cl)N(=O)=O,-2.0
CCCCCCCCC(=O)OC,-3.38
Clc1cccc(c1)N(=O)=O,-2.77
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88
c1ccc2c(c1)cnc3ccccc23,-2.78
Cc1ccc2cc3ccccc3cc2c1,-6.96
CC(C)(C)CCO,-0.5
CCCCCCCCl,-4.0
ClCC(C)C,-2.0
CCNC(=S)NCC,-1.46
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29
CC(C)(C)Cc1ccccc1,-4.15
CCOC(=O)c1ccc(N)cc1,-2.616
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,-3.79
O(c1ccccc1)c2ccccc2,-3.96
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
Oc1ccc(C=O)cc1,-0.96
Nc1ccc(cc1)c2ccc(N)cc2,-2.7
CCCCCCC(C)O,-2.09
Cc1cc(C)cc(C)c1,-3.4
CCC(C)CO,-0.47
CCCCC=O,-0.85
Clc1ccccc1N(=O)=O,-2.55
CC,-1.36
NC(=O)c1ccccc1,-0.96
CCCOC(=O)c1ccc(N)cc1,-2.452
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
COC(C)(C)C,-0.24
CC(C)Cc1ccccc1,-4.12
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
O=C1CNC(=O)N1,-0.4
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-11.6
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
C1CCCCCCC1,-4.15
Sc1ccccc1,-2.12
c1ccc2cnccc2c1,-1.45
CCCCCCCCCCCCCCCO,-6.35
Oc1c(I)cc(C#N)cc1I,-3.61
CC/C=C/C,-2.54
CCCCCCCCCCO,-3.63
Cc1ccccc1Br,-2.23
CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C,-5.24
COC=O,0.58
O=C1CCCCC1,-0.6
CC(=C)C,-2.33
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl,-5.64
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,-2.73
Oc1ccccc1O,0.62
CCCCC(C)(C)O,-1.08
CCCCCCCC(=O)C,-2.58
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
c1ccoc1,-0.82
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CCOC=O,0.15
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999
ClC(Cl)C(Cl)(Cl)Cl,-2.6
c2ccc1[nH]ccc1c2,-1.52
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88
CC=C(C)C,-2.56
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451
CC1CCCC1,-3.3
c1(Br)c(Br)cc(Br)cc1,-4.5
CCCCC,-3.18
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.59
CCOCCOCC,-0.77
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
CC(C)c1ccccc1,-3.27
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,-2.1109999999999998
CCNc1ccccc1,-1.7
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596
Clc1cccc(Br)c1,-3.21
CNC(=O)Oc1ccccc1C(C)C,-2.863
CCCCS,-2.18
Cc1ccc(cc1)c2ccccc2,-4.62
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
ClCCCCl,-1.62
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38
COc1ccccc1,-1.85
Cc1ccccc1C,-2.8
Nc1cccc(Cl)c1,-1.37
Nc1nc(O)nc2nc[nH]c12,-3.4010000000000002
NC(=O)c1ccccc1O,-1.82
NC(=O)NC1NC(=O)NC1=O,-1.6
COP(=O)(NC(C)=O)SC,0.54
C1OC1c2ccccc2,-1.6
CCc1ccccc1CC,-3.28
CC(C)CBr,-2.43
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-6.51
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
CCCCCO,-0.6
CO,1.57
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,-3.78
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
CCCOC(=O)CCC,-1.75
CCc1ccc2ccccc2c1,-4.29
CCCCC(C)(O)CC,-1.6
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
N(=Nc1ccccc1)c2ccccc2,-4.45
Clc1ccccc1c2ccccc2Cl,-5.27
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
Brc1cccc(Br)c1,-3.54
Cc1cc(C)c(C)cc1C,-4.59
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
Cc1ccc(cc1)S(=O)(=O)N,-1.74
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl,-8.71
ClC=C,-1.75
C1CCCCC1,-3.1
COc1ccccc1O,-1.96
CCCCCCCCCC(=O)OCC,-4.1
Clc1ccc(cc1)c2cccc(Cl)c2Cl,-6.29
CCC(C)C(=O)C,-0.67
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
N#Cc1ccccc1,-1.0
COc1ccc(cc1)N(=O)=O,-2.41
Cc1ccc(N)cc1,-1.21
CCCSCCC,-2.58
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.0969999999999995
CC(C)c1ccc(C)cc1,-3.77
C,-0.9
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32
c1ccc2c(c1)sc3ccccc23,-4.38
CCC(O)C(C)C,-0.7
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
CCCCCC(C)(C)O,-1.72
COCOC,0.48
c1(O)c(C)ccc(C(C)C)c1,-2.08
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,-4.16
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
CCOc1ccccc1,-2.33
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl,-3.05
Cc1cccc(c1)N(=O)=O,-2.44
Cc1cccc2c(C)cccc12,-4.678999999999999
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
CC(=O)Nc1ccc(O)cc1,-1.03
CCN2c1ncccc1N(C)C(=O)c3cccnc23,-2.62
CCCCCCCC=C,-5.05
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-5.292999999999999
C=CCCC=C,-2.68
Cc1c[nH]c2ccccc12,-2.42
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl,-7.66
Sc2nc1ccccc1s2,-3.18
CC(C)C(=O)C,-0.12
CCCCOC,-0.99
C=CC=O,0.57
CC(C)CCO,-0.51
c1cnc2c(c1)ccc3ncccc23,-2.68
CCN2c1ccccc1N(C)C(=O)c3ccccc23,-4.749
CCCCOC=O,-1.37
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,-3.38
Clc1ccc(cc1)N(=O)=O,-2.92
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68
CC(C)OC(=O)C,-0.55
ClC=C(Cl)Cl,-1.96
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
CCCOCCC,-1.62
Cc2cnc1cncnc1n2,-0.8540000000000001
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
Cc1ccc(O)c(C)c1,-1.19
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CC(O)c1ccccc1,-0.92
c1ccccc1C(O)C(O)c2ccccc2,-1.93
CCC(=O)C,0.52
Nc2cccc3nc1ccccc1cc23,-4.22
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,-3.38
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,-8.01
O=Cc2ccc1OCOc1c2,-1.63
COc1ccc(Cl)cc1,-2.78
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-9.15
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,-2.3
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
Oc2ccc1CCCCc1c2,-1.99
CC1=CCC(CC1)C(C)=C,-4.26
CC2(C)C1CCC(C)(C1)C2=O,-1.85
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
CCCCCCCCCCCC(=O)OC,-4.69
